2024-01-18 16:48:45.788 [main] INFO  com.shopapp.ShopappApplication - Starting ShopappApplication using Java 17.0.8 with PID 21136 (D:\ShopAppSpringboot\shopapp-backend\shopapp\target\classes started by phamn in D:\ShopAppSpringboot\shopapp-backend\shopapp)
2024-01-18 16:48:45.788 [main] INFO  com.shopapp.ShopappApplication - No active profile set, falling back to 1 default profile: "default"
2024-01-18 16:48:46.471 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-01-18 16:48:46.555 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 77 ms. Found 9 JPA repository interfaces.
2024-01-18 16:48:47.031 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-01-18 16:48:47.038 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-01-18 16:48:47.040 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-01-18 16:48:47.040 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.16]
2024-01-18 16:48:47.082 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-01-18 16:48:47.082 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1262 ms
2024-01-18 16:48:47.170 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-01-18 16:48:47.206 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.3.1.Final
2024-01-18 16:48:47.231 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2024-01-18 16:48:47.422 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-01-18 16:48:47.442 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-01-18 16:48:47.539 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@2fb48970
2024-01-18 16:48:47.540 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-01-18 16:48:47.555 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: MySQL8Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2024-01-18 16:48:47.556 [main] WARN  org.hibernate.orm.deprecation - HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead
2024-01-18 16:48:48.397 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-01-18 16:48:48.400 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-01-18 16:48:48.663 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-01-18 16:48:48.771 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2024-01-18 16:48:49.453 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@2a654167, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@15e8e884, org.springframework.security.web.context.SecurityContextHolderFilter@1e299e3f, org.springframework.security.web.header.HeaderWriterFilter@4968deb9, org.springframework.web.filter.CorsFilter@4fa1bdd0, org.springframework.security.web.authentication.logout.LogoutFilter@13c02cec, com.shopapp.filter.JwtTokenFilter@1fd77205, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@372e01e0, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@54fc7fce, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3f06c9ac, org.springframework.security.web.access.ExceptionTranslationFilter@496a514f, org.springframework.security.web.access.intercept.AuthorizationFilter@23038621]
2024-01-18 16:48:49.705 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-01-18 16:48:49.724 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2024-01-18 16:48:49.729 [main] INFO  com.shopapp.ShopappApplication - Started ShopappApplication in 4.268 seconds (process running for 4.91)
2024-01-18 16:50:48.659 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-01-18 16:50:48.663 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-01-18 16:50:48.673 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2024-01-18 16:50:51.219 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-01-18 16:50:51.248 [main] INFO  com.shopapp.ShopappApplication - Starting ShopappApplication using Java 17.0.8 with PID 26408 (D:\ShopAppSpringboot\shopapp-backend\shopapp\target\classes started by phamn in D:\ShopAppSpringboot\shopapp-backend\shopapp)
2024-01-18 16:50:51.249 [main] INFO  com.shopapp.ShopappApplication - No active profile set, falling back to 1 default profile: "default"
2024-01-18 16:50:51.849 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-01-18 16:50:51.932 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 78 ms. Found 9 JPA repository interfaces.
2024-01-18 16:50:52.373 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-01-18 16:50:52.381 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-01-18 16:50:52.382 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-01-18 16:50:52.382 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.16]
2024-01-18 16:50:52.438 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-01-18 16:50:52.439 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1153 ms
2024-01-18 16:50:52.546 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-01-18 16:50:52.596 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.3.1.Final
2024-01-18 16:50:52.636 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2024-01-18 16:50:52.818 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-01-18 16:50:52.839 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-01-18 16:50:52.947 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@b0d3e7
